,name,time,tweet
120,👑ENGR ANIEKAN 11November KING,2019-11-13 18:34:03, Lol!! Was so pissed up!!! They made Godswill Akpabio stadium look like Oshomole stadium
121,MOLATsportgist 🇳🇬,2019-11-13 18:31:54,"FT:
🇳🇬 Nigeria 2-1 Benin 🇧🇯

 (Osimhen 🅿️ 45', Kalu 64' - Sessegnon 5')

Super eagles came from behind to defeat Be… "
122,𝔾𝕀𝔻𝕀𝕋ℝ𝔸𝔽𝔽𝕀ℂ,2019-11-13 18:22:01,""": - 19:15hrs
Wednesday 13th November 2019. 

Super Eagles of Nigeria beat Benin Republic 2-1 at Godswill… "
123,iam_emekabambam,2019-11-13 18:21:14, Portharcourt should as a matter of urgency sack the entire crew that handled that appalling and disgrac… 
124,iReport™,2019-11-13 18:17:56,"SportsNews - 19:15hrs
Wednesday 13th November 2019. 

Super Eagles of Nigeria beat Benin Republic 2-1 at Godswill… "
125,#NeverGiveUp,2019-11-13 18:10:11,"NGSuperEagles: FT: 2-1
It ends here at the Godswill Akpabio Stadium, Uyo.
It is a winning start for us in this camp… "
126,The Global News Nigeria,2019-11-13 18:08:46,AFCON Qualifiers: Super Eagles bounce back to beat Benin Republic 2-1 at Godswill Akpabio Stadium… 
127,Legit.ng,2019-11-13 18:05:59,"Full-time:  2-1 Benin

Three-time African champions edge past tricky neighbours in border derby playe… "
128,'Fala,2019-11-13 18:05:13, The just concluded Afcon 2021 qualifiers between Nigeria and benin at the godswill akpabio intl stadi… 
129,Lori Odan On Rave917fm,2019-11-13 18:04:04,"Nigeria’s Super Eagles came from a goal down to defeat the visitors, Benin Republic 2-1 at the Godswill Akpabio Sta… "
130,JELEEL OBA YESIRU,2019-11-13 18:03:04,"FT: 2-1
It ends here at the Godswill Akpabio Stadium, Uyo.
It is a winning start for us in this campaign.
NGABEN… "
131,EdidionAbasi,2019-11-13 18:00:24,"If you ask me I think Akwa ibom stadium name should be change from the name of the formal governor "" Godswill Akpab… "
132,King oluwasammy,2019-11-13 17:58:50,"FT: 2-1
It ends here at the Godswill Akpabio Stadium, Uyo.
It is a winning start for us in this campaign.
AFCON2021Q SuperEagles"
133,🇳🇬 Super Eagles,2019-11-13 17:56:03,"FT: 2-1
It ends here at the Godswill Akpabio Stadium, Uyo.
It is a winning start for us in this campaign.
NGABEN… "
134,IBRAHIM,2019-11-13 17:52:05,Godswill Akpabio should be thanked for situating this beautiful stadium here in Akwa Ibom. Live match too sweet abe… 
135,JELEEL OBA YESIRU,2019-11-13 17:50:22,"2 - Samuel Kalu has scored two goals for the Super Eagles, both coming at the Godswill Akpabio international stadiu… "
136,ADAEZE,2019-11-13 17:49:01,Godswill Akpabio international stadium  erupts as Ahmed Musa has been introduced and Osimhen makes way for him NGABEN SoarEagles
137,NPFL STATISTICS,2019-11-13 17:48:23,"2 - Samuel Kalu has scored two goals for the Super Eagles, both coming at the Godswill Akpabio international stadiu… "
138,John Raphael,2019-11-13 17:45:53," 
Is it your (NTA) crew that is transmitting the live football match of the Super Eagles Vs the Squirrel… "
139,DIRECTOR OF MAN UTD 🇾🇪🔴⚫️,2019-11-13 17:31:35,I think the camera guy on duty for NTA at the Godswill Akpabio stadium is using a mobile phone but the commentary makes it worst 🙄😣😣
140,Devil's Advokate,2019-11-13 17:13:48,"Excuse me plss, is t anyone at the Godswill akpabio nest of champions stadium that has iPhone 11 or any good androi… "
141,Abiola Ibrahim T.,2019-11-13 17:13:11,How many times will this commentator tell us that we are at the Godswill Akpabio stadium? Is Akpabio contesting for… 
142,Màrçéló,2019-11-13 17:11:51,"NTA using only one çamera to cover CAF match in Godswill Akpabio INT'L stadium. 
Funny 🇳🇬"
143,Oluwaseun,2019-11-13 16:51:30,"Just when I thought I have seen it all in Nigeria, just saw someone hawking watermelon at the pavilion in Godswill… "
144,Angel Ikechukwu,2019-11-13 16:49:05,We're watching Godswill Akpabio Stadium  field instead Nigeria vs Benin match.  Camera man eshie ooo
145,Jawn Tee,2019-11-13 16:34:36,"Forehead bigger than Godswill Akpabio Stadium 🏟 

I wonder how you wear polo with this kinda big head 😂🤣🤣 "
146,omo_iya_eledu,2019-11-13 16:33:37, pls change ya I.t cameraman currently working at godswill akpabio stadium NigBen
147,Kent,2019-11-13 16:33:13," and their staffs right here at the Godswill Akpabio Intl Stadium 😂😂😂😂😭
NGABEN Afcon "
148,Okwuokei celestine,2019-11-13 16:31:51, the Godswill Akpabio Stadium uyo is bad they for play the match in asaba delta state
149,Taiye Taiwo,2019-11-13 16:23:29,I hope Nigeria don't start AFCON2021Q the same way they lost to South Africa two years ago at the Godswill Akpabio… 
150,Felix,2019-11-13 16:20:23,Right now at godswill akpabio international stadium 
151,AMBASSADOR 🔱🔱🔱100%,2019-11-13 16:18:56,"Nigeria 0-1 Benin live from the Godswill Akpabio Stadium Uyo. 

SoarSuperEagles
NGABEN "
152,Papa Yannick,2019-11-13 16:02:44,First pic of Godswill Akpabio Stadium. Let's do this  &amp;  as u're holding rn a meeting on bor… 
153,🇳🇬 Super Eagles,2019-11-13 16:01:03,"Welcome to the Godswill Akpabio Stadium, Uyo for this AFCON2021Q NGABEN SoarSuperEagles Team9jaStrong."
154,Darny Arts Anthony,2019-11-13 15:52:38,"   From Goodluck Jonathan Boulevard, to The Nest of Champions, Godswill Akpabio Int'l Stadium, Akwaibom Int'l Stadium"
155,ADAEZE,2019-11-13 15:43:28,Bright and sunny weather here in Godswill Akpabio international stadium...NGABEN 
156,11ecureuils_Benin,2019-11-13 15:35:16,"Composition officielle
🕹 : 🇳🇬 vs 🇧🇯
🏟 Godswill Akpabio Stadium
🕒 : 17h00 🕔

ÉcureuilsEtFiers Football… "
157,Brain,2019-11-13 15:34:15,Yes!!! We're live here... Nigeria 🇳🇬 vs Benin — attending Nigeria vs Benin at Godswill Akpabio International Stadiu… 
158,💚Ibraheem D'absolute💛,2019-11-13 15:05:07,  We are here live at Godswill Akpabio 
159,Chuka Bonna Agba 🔱 🔱,2019-11-13 15:04:08,"🇳🇬 The Super Eagles starting XI vs Benin in today's AFCON 2021 qualifier is confirmed: 

Akpeyi starts in goal
Kalu… "
160,Merrybet,2019-11-13 14:58:50,The Super Eagles of Nigeria will begin its quest for AFCON 2021 qualification when they take on Benin Republic at t… 
161,Frank Kyrian,2019-11-13 14:32:49, _sports Stop using picture of European football pitch to present as Godswill Akpabio stadium
162,Matchcentreng,2019-11-13 14:20:59,The Super Eagles will begin its quest for AFCON 2021 qualification today when it takes on the Squirrels of Benin Re… 
163,Fapohunda 'Femi John,2019-11-13 13:59:17," _sports Well I'd believed a rumor before now..Lol
"
164,Fisayo Dairo,2019-11-13 13:32:00,"EAGLES BACK IN THEIR NEST!

About two and half hours to go for NGABEN at the Godswill Akpabio Stadium in Uyo.

Gam… "
165,GIBET | Gillionaire,2019-11-13 13:16:52,Nigeria Super Eagles will kick-off their quest for the 2021 Africa Cup of Nations when they take on Benin Republic… 
166,Dodoh Okafor,2019-11-13 13:06:07,Godswill Akpabio’s Uncommon Dilemma 
167,Engineer Kowope,2019-11-13 12:54:16,The Godswill Akpabio Stadium in it's prepossessing state ahead of the Super Eagles game with Benin Republic at 5pm.… 
168,ZA QUEEN who owns a condo.,2019-11-13 12:46:43," Victor Attah should be given credit as well, he drew the architectural plan for Akwa Ibom state and God… "
169,victor Nkakang,2019-11-13 12:35:01,"Who has an extra ticket to see the super eagles vs Benin at the Godswill Akpabio stadium? Please help a brother ,sa… "
170,Jennifer Orji,2019-11-13 12:24:21,"MATCH DAY 💃😁🔥
AFCON 2021 Qualifier Game. Nigeria vs Benin Republic. Kick-off: 5:00Pm

Venue: Godswill Akpabio Inter… "
171,Sportsstarz Football Agent,2019-11-13 12:11:03,"MATCHDAY
2021 Africa Cup of Nations Qualification
All the best 🇳🇬 Super Eagles as they begin their qualifying campa… "
172,Abia's First Son,2019-11-13 11:08:46,"If this death for hate speech law was in place since 99, here is a list of people wey for done die
Lai Mohammed 
Ro… "
173,Ezeji Ugochukwu,2019-11-13 10:13:04,"Short clips on yesterday's Training at Godswill Akpabio Stadium Uyo
SoarSuperEagles🦅🇳🇬💪🏾  … "
174,ballOFF7,2019-11-13 09:57:57,"Match Day 

AFCON 2021 Qualifiers 

Nigeria vs Benin Republic 
Venue: Godswill Akpabio Stadium, Uyo 

Kickoff: 5pm… "
175,R&S Sports Betting,2019-11-13 09:30:55,"🇳🇬🦅 MATCH DAY!!

🆚 Benin
🕔 5:00pm kick off
🏟 Godswill Akpabio Stadium

What are your full-time score predictions?"
176,Making of Champions,2019-11-13 09:29:03,The Super Eagles of Nigeria kick off their 2021 Africa Cup of Nations (AFCON) qualifiers with a home game against t… 
177,Rose Rozay Akai,2019-11-13 08:34:01,I have two tickets to give away for the Super Eagles match today at the Godswill Akpabio International Stadium at 5… 
178,NetBet Nigeria,2019-11-13 08:16:16,"The Super Eagles of Nigeria start their 2021 AFCON qualifiers with a clash against the Squirrels of Benin today.

T… "
179,Jupita Sports,2019-11-13 07:28:52,"Nigeria vs Benin Republic
Time: 5:00pm
Venue: Godswill Akpabio International Stadium, Uyo.
What's your prediction?.… "
180,Vincent O. 🇳🇬🇦🇪,2019-11-13 05:49:16,"Africa cup of Nations qualification

Group L: Nigeria vs Benin Republic
Date: Today (13/11/2019)
Time: 5:00 pm (Nig… "
181,Emmanuel Sabastine,2019-11-12 22:35:24, having their final training session under the floodlights in the Godswill Akpabio Stadium ahead of t… 
182,Itoro Ime Noah,2019-11-12 22:07:42,"Warsaw

Away from his wanton supporters, Tuesday is almost over, has anyone heard from Chief Godswill Akpabio or a… "
183,Neusroom,2019-11-12 21:56:29,"The match which will hold at Godswill Akpabio Stadium,  Uyo by 4 p.m. will see both teams gunning for victory in or… "
184,Marizona Isaac Isaac,2019-11-12 20:25:16," up against Squirrels of Benin. Tomorrow
At the Godswill Akpabio International Stadium.
If you need t… "
185,📻Radio Plug,2019-11-12 20:23:23,"I will never support any attempt to demean or slander  through words, actions or otherwise. The Stad… "
186,Raymond Ita,2019-11-12 20:20:36,"Just In.

Akwa Ibom State Government debunks rumours of renaming the Godswill Akpabio International Stadium.

Godsw… "
187,Wajes Zamani jnr,2019-11-12 19:46:19,What a strike 718 we'll be waiting for that kind of stuff at godswill akpabio stadium  
188,Edet,2019-11-12 17:01:01," Nigeria must check these unscrupulous behaviors. When these men retire from the Nigerian Police Force, the… "
189,Izu Chukwu,2019-11-12 16:05:54,"The FIFA U20 Women’s World, if hosted by Nigeria, is expected to be held in Four Venues; 

-Godswill Akpabio Intern… "
190,Dodoh Okafor,2019-11-12 15:52:15,"What will be best for Godswill Akpabio? 
Remain a minister? 
Resign and contest the re-run election?
What if he los… "
191,Sports Radio 88.9 Brila FM,2019-11-12 15:46:43,"The FIFA U20 Women’s World, if hosted by Nigeria, is expected to be held in Four Venues; 

-Godswill Akpabio Intern… "
