,name,time,tweet
204,Icon,11/11/2019 20:46,N-POWER are not paying stipends on time
205,Icon,11/11/2019 20:45,we cannot volunteer and be Hungry. N-POWER pay us in time. This is unfair
206,This girl isn't that girl,11/11/2019 20:45,Beneficiary says N-POWER empowered him through Nbuild scheme.
207,This girl isn't that girl,11/11/2019 20:44,N-POWER don't delay payment. We are still waiting for october salary
208,Icon,11/11/2019 20:42,N-POWER should improve in management
209,Dr Yahooza,11/11/2019 20:41,   _ng    Do they pay in millions?
210,Icon,11/11/2019 20:41,_A    1 _lagos 1051 _ng… 
211,idio thomas,11/11/2019 20:34,"_ng Be patient with the Government, all will be well"
212,Akinbile Oyewumi S,11/11/2019 20:33,_ng Happy celebration to our Muslim brothers
213,Angela 2,11/11/2019 20:28,   _ng    Trainee on deception.
214,Joseph Inyali,11/11/2019 20:25," _ng Fantastic news, thumb up for this formidable duo  and  for initiating… "
215,Adejumo Seyi,11/11/2019 20:23,"_ng Here's an example...

World War 1, also known as the first World War ended on the 11th of November 1918.… "
216,Adejumo Seyi,11/11/2019 20:23,_ng And I'll say the idea struck me only when I started teaching them. I've been working on a way to make it… 
217,Adejumo Seyi,11/11/2019 20:21,"_ng I was posted to a secondary school earlier in the year and I took up history and maths as a subject, eve… "
218,Ayodeji Oginni,11/11/2019 20:21,"_ng Thank God for npower program. May God bless Nigeria, amen. I appreciate the present administration- 'OBA… "
219,Akinbile Oyewumi S,11/11/2019 20:12,_ng Congratulation.
220,Adejumo Seyi,11/11/2019 20:07,12  _ng Definitely he was absolutely wrong to have said  is shameless due to delaye… 
221,Philip Obin,11/11/2019 20:06,"It has come to our notice that Cross River State SUBEB has employed 76 N-Power beneficiaries.

Good job Cross River… "
222,Aliyu Ahmad Tijjani,11/11/2019 20:04,_ng congrats!
223,ProfRolex,11/11/2019 19:53,16  _ytk 1 _ng I am equally very sorry to tell you that an educated… 
224,8031847698,11/11/2019 19:52,_ng Well well.. Someone is hungry
225,Kasim Suleiman,11/11/2019 19:38,"_ng Celebration, wen una never settle npower beneficiaries today is 11th November.. Y d delay"
226,M. G. Gonet,11/11/2019 19:30,_ytk 1 _ng No hope for this country with these kinds of youths who see things only from religious prism.
227,abdulrahman saleh,11/11/2019 19:26,_ng Thank you for your support 
228,Bright,11/11/2019 19:12,_ng Hmm.. Close door employment
229,♦♦Ajoketradingstore♦♦,11/11/2019 19:02,_ng I just came to check if npower is still in existence.
230,sannidudu,11/11/2019 19:02, _ng 🙆 Plz kindly explain your stand?
231,Abem Sunday owan,11/11/2019 19:00,"_ng Please let me know more about Nagro,is there any news about them"
232,Regina ifeoma,11/11/2019 18:59, _ytk 1 _ng I am equally sorry that the self acclaimed educated person said that too
233,Semilore,11/11/2019 18:44,_ng You should have paid them their stipends
234,Sulaiman Yusuf,11/11/2019 18:42,"Amin
 
    1 3  _ng… "
235,Olarewaju,11/11/2019 18:29,_ng When u delay our stipend is not good now are u people we tell us dat u hv not received ur own salary God… 
236,Keneke Emmanuel,11/11/2019 18:28,_ng Wen are we expecting our stipend for October na 😭😭😭😭😭😭😭😭😭💜💜💜
237,Adetoro Adebola,11/11/2019 18:27,"_ng _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no y… "
238,Adetoro Adebola,11/11/2019 18:26," _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to n… "
239,Adetoro Adebola,11/11/2019 18:26," _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no you… "
240,Ali Scorpion,11/11/2019 18:25,_ng Thanks may God bless.
241,Adetoro Adebola,11/11/2019 18:24,"_ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no you will cre… "
242,AHMAD NUHU,11/11/2019 17:58,N-POWER You too try to displeased
243,Babalola Akeem,11/11/2019 17:56,"N-POWER  Pls, release our stipend it's getting late."
244,Kasim Suleiman,11/11/2019 17:53,"11th November, till now npower beneficiaries stipend still hanging, y d delay,"
245,Kehinde,11/11/2019 17:48,Npower please when is the transition icon be back on our pages most 2016 npowerites have not selected an…
246,Chukwujekwu Jevic,11/11/2019 17:45,N-POWER A very welcomed development.
247,Akpan. M.J.,11/11/2019 17:37,N-POWER Dead state
248,Sibe Lebari,11/11/2019 17:33,N-POWER Commendable: this is lesson and pacesetting for the federal government and other states.
249,Omen,11/11/2019 17:31,N-POWER It is most unfortunate that we celebrated without cash as our stipend is still not paid
250,Mrs Esther Udemba,11/11/2019 17:27,N-POWER Plsease when will the transition  page be on i couldn't  choose because  of bad network here
251,James Daniel Mountai,11/11/2019 17:26,I wish both federal government and other states government can emulate cross river. God bless cross river government.
252,Kingsley William,11/11/2019 17:24,Congrats to CRS
253,Kingsley William,11/11/2019 17:21,N-POWER Hmmmm are we save
254,Isaac Maiyanga,11/11/2019 17:11,"N-POWER, We are not smiling with the celebration. We always beg before payment are made every month."
255,Nwankwo Chidozie,11/11/2019 17:05,"What a failed nation.
76 out of over 15k volunteers and you guys are applauding them.

Whoever that did is crazy"
256,Isaac Maiyanga,11/11/2019 17:03,"N-POWER Thank you Npower, but what is the fate for some of nteach from other states that have been on and doing…"
257,uyo chijioke,11/11/2019 17:02,N-POWER That's nice.. Congrats to the employees
258,Ismail ibrahim,11/11/2019 17:01,"Nice work, congrats"
259,Bryan Chukwunonso™© 🇳🇬,11/11/2019 17:00,"I didn't want to reply that. 

Ask him the kind of job that people get…"
260,Anadi Ndubisi C.,11/11/2019 16:57,N-power greater number of volunteers are not happy with your level of treatment
261,Stil Agro,11/11/2019 16:53,N-POWER is amazing
262,AUDU NELSON,11/11/2019 16:50,Congratulations to our Muslim brothers.
263,Stil Agro,11/11/2019 16:50,N-POWER is not making payment friendly at all
264,This girl isn't that girl,11/11/2019 16:50,N-POWER is not taking serious steps in improving this programme
265,Chidi_Anyim,11/11/2019 16:41,Is new intake currently on going? Keeping messages about new registration but npower page application is not active.
266,Stil Agro,11/11/2019 16:41,N-POWER is not trying in terms of payment
267,MuhD Qassim Adebayo,11/11/2019 16:26,N-POWER pay our stipends. we cannot wait again
